X,Y,CCN,ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_ID,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,SE_ANNO_CAD_DATA
-8575157.86977037,4710103.20979123,13096591,14th St NW and W St NW,2013/07/11 04:00:00+00,2155-2215,2013/07/11 04:00:00+00,2013,7,3D,Ward 1,Sexual Orientation,,ADW,905984,397229.15001138,139035.45999846,38.91918483,-77.03195149,,,MPD,2024/02/16 21:02:52+00,7428,
-8575028.14095494,4709790.62490088,13097871,1300 block of U Street NW,2013/07/14 04:00:00+00,0219,2013/07/14 04:00:00+00,2013,7,3D,Ward 1,Race,White,Simple Assault,804518,397330.13,138792.9,38.91700008,-77.03078611,,,MPD,2024/02/16 21:02:52+00,7429,
-8576198.36743307,4710451.19773689,13097888,2300 block of Champlain St NW,2013/07/14 04:00:00+00,0248,2013/07/14 04:00:00+00,2013,7,3D,Ward 1,Race,Black,Simple Assault,813215,396418.7,139305.77,38.92161694,-77.04129843,,,MPD,2024/02/16 21:02:52+00,7430,
-8576240.93616487,4709973.92112161,13101721,2100 block of 18th St NW,2013/07/21 04:00:00+00,0418,2013/07/21 04:00:00+00,2013,7,3D,Ward 1,Race,White,ADW,813741,396385.37,138935.49,38.9182812,-77.04168083,,,MPD,2024/02/16 21:02:52+00,7431,
-8573928.98170085,4707331.74621241,13104935,600 block of H St NW,2013/07/26 04:00:00+00,2340-2349,2013/07/26 04:00:00+00,2013,7,1D,Ward 2,Gender Identity/Expression,,Simple Assault,807858,398185.99,136884.63,38.89981191,-77.0209122,,,MPD,2024/02/16 21:02:52+00,7432,
-8576010.43763379,4710668.80497741,13105009,1700 block of Euclid St NW,2013/07/27 04:00:00+00,0126,2013/07/27 04:00:00+00,2013,7,3D,Ward 1,Race,White,Robbery,803896,396565.17,139474.53,38.92313777,-77.03961023,,,MPD,2024/02/16 21:02:52+00,7433,
-8572256.2324615,4708029.08220025,13108311,1st ST NE and Pierce St NE,2013/08/01 04:00:00+00,2100-2105,2013/08/02 04:00:00+00,2013,8,1D,Ward 6,Sexual Orientation,,Damage/Defacing/Destruction of Property,901051,399489.49001348,137425.59999696,38.90468689,-77.00588564,,,MPD,2024/02/16 21:02:52+00,7434,
-8574441.28556004,4713349.85043911,13109824,Georgia Ave NW and Upshur St NW,2013/08/04 04:00:00+00,1100-1101,2013/08/04 04:00:00+00,2013,8,4D,Ward 4,Gender Identity/Expression,,ADW,901333,397788.0900119,141553.82000079,38.94187258,-77.0255143,,,MPD,2024/02/16 21:02:52+00,7435,
-8575301.45557911,4709950.05158994,13120264,1400 block of V St NW,2013/08/24 04:00:00+00,0051,2013/08/24 04:00:00+00,2013,8,3D,Ward 1,Gender Identity/Expression,,ADW,811679,397117.25,138916.67,38.91811437,-77.03324134,,,MPD,2024/02/16 21:02:52+00,7436,
-8564615.89802364,4705798.76824964,13125881,4500 block of Benning Rd SE,2013/09/03 04:00:00+00,2133,2013/09/03 04:00:00+00,2013,9,6D,Ward 7,Ethnicity/National Origin,Asian,Simple Assault,803852,405443.89,135696.51,38.88909391,-76.93725137,,,MPD,2024/02/16 21:02:52+00,7437,
