ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_LATITUDE,MAR_LONGITUDE,YEAR,DAY_OF_WEEK,MONTH_NAME
5600 block of 1st St NE,2018-06-06 04:00:00+00:00,1736,2018/06/06 04:00:00+00,2018,6,4D,Ward 4,Race,Black,Threats,38.95818981,-77.00627196,2018,Wednesday,June
100 block of 7th St NW,2018-06-07 04:00:00+00:00,0004,2018/06/07 04:00:00+00,2018,6,1D,Ward 2,Sexual Orientation,,Simple Assault,38.8913081,-77.02190689,2018,Thursday,June
1600 block of A St SE,2018-06-10 04:00:00+00:00,1650,2018/06/10 04:00:00+00,2018,6,1D,Ward 7,Race,White,Simple Assault,38.88867273,-76.98149067,2018,Sunday,June
1600 block of R St NW,2018-06-10 04:00:00+00:00,1700,2018/06/10 04:00:00+00,2018,6,3D,Ward 2,Sexual Orientation,,Damage/Defacing/Destruction of Property,38.91260899,-77.03749919,2018,Sunday,June
5300 block of Wisconsin Ave NW,2018-06-15 04:00:00+00:00,1423,2018/06/15 04:00:00+00,2018,6,2D,Ward 3,Race,Black,Simple Assault,38.95991197,-77.08528828,2018,Friday,June
3800 block of Minnesota Ave NE,2018-06-16 04:00:00+00:00,0213,2018/06/16 04:00:00+00,2018,6,6D,Ward 7,Sexual Orientation,,Threats,38.89213808,-76.95136745,2018,Saturday,June
1600 block of 17th St NW,2018-06-16 04:00:00+00:00,0040,2018/06/16 04:00:00+00,2018,6,3D,Ward 2,Sexual Orientation,,Damage/Defacing/Destruction of Property,38.9114974,-77.03848454,2018,Saturday,June
1700 block of M St NW,2018-06-17 04:00:00+00:00,0402,2018/06/17 04:00:00+00,2018,6,2D,Ward 2,Gender Identity/Expression,,Simple Assault,38.90565396,-77.03981439,2018,Sunday,June
1300 block of Good Hope Rd SE,2018-06-17 04:00:00+00:00,2215,2018/06/18 04:00:00+00,2018,6,6D,Ward 8,Gender Identity/Expression,,Robbery,38.8669496,-76.98609184,2018,Sunday,June
7000 block of Blair Rd NW,2018-06-22 04:00:00+00:00,2001,2018/06/22 04:00:00+00,2018,6,4D,Ward 4,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,38.97528887,-77.01904969,2018,Friday,June
1000 block of 14th St NW,2018-06-26 04:00:00+00:00,1445,2018/06/26 04:00:00+00,2018,6,2D,Ward 2,Ethnicity/National Origin,Asian,ADW,38.90312998,-77.03195398,2018,Tuesday,June
1200 block of Wisconsin Ave NW,2018-06-27 04:00:00+00:00,1728,2018/06/27 04:00:00+00,2018,6,2D,Ward 2,Sexual Orientation,,Stalking,38.90560134,-77.06282229,2018,Wednesday,June
300 block of D St SW,2018-06-29 04:00:00+00:00,0658,2018/06/29 04:00:00+00,2018,6,1D,Ward 6,Ethnicity/National Origin,Arab/Middle Eastern,Damage/Defacing/Destruction of Property,38.88507425,-77.01637809,2018,Friday,June
1300 block of U St NW,2018-06-29 04:00:00+00:00,0117,2018/06/29 04:00:00+00,2018,6,3D,Ward 1,Ethnicity/National Origin,Latino/Hispanic,ADW,38.91700008,-77.03078611,2018,Friday,June
1200 block of Quincy St NE,2018-06-29 04:00:00+00:00,1817,2018/06/29 04:00:00+00,2018,6,5D,Ward 5,Race,White,Simple Assault,38.93724454,-76.98955035,2018,Friday,June
3100 block of M St NW,2018-06-29 04:00:00+00:00,2145,2018/06/30 04:00:00+00,2018,6,2D,Ward 2,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.90518541,-77.06199794,2018,Friday,June
4400 block of Connecticut Ave NW,2018-07-01 04:00:00+00:00,1711,2018/07/01 04:00:00+00,2018,7,2D,Ward 3,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,38.94731441,-77.06534433,2018,Sunday,July
4500 block of Garfield St NW,2018-07-02 04:00:00+00:00,1853,2018/07/02 04:00:00+00,2018,7,2D,Ward 3,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.9275282,-77.08944374,2018,Monday,July
1400 block of M St NW,2018-07-02 04:00:00+00:00,1714,2018/07/02 04:00:00+00,2018,7,2D,Ward 2,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.90564595,-77.03349113,2018,Monday,July
2400 block of Market St NE,2018-07-06 04:00:00+00:00,1309,2018/07/06 04:00:00+00,2018,7,5D,Ward 5,Race,Asian,Simple Assault,38.91984587,-76.95289941,2018,Friday,July
1700 block of Rhode Island Ave NW,2018-07-09 04:00:00+00:00,0631,2018/07/09 04:00:00+00,2018,7,2D,Ward 2,Race,Black,Simple Assault,38.90610249,-77.03980945,2018,Monday,July
1700 block of Pennsylvania Ave NW,2018-07-11 04:00:00+00:00,1546,2018/07/11 04:00:00+00,2018,7,2D,Ward 2,Ethnicity/National Origin,Asian,Threats,38.89920615,-77.04058121,2018,Wednesday,July
3000 block of 5th ST SE,2018-07-14 04:00:00+00:00,2229,2018/07/15 04:00:00+00,2018,7,7D,Ward 8,Sexual Orientation,,Robbery,38.84623981,-77.00076463,2018,Saturday,July
700 block of 10th St NW,2018-07-15 04:00:00+00:00,0358,2018/07/15 04:00:00+00,2018,7,2D,Ward 2,Sexual Orientation,,Simple Assault,38.89868539,-77.02599145,2018,Sunday,July
2300 block of M St NW,2018-07-21 04:00:00+00:00,0001,2018/07/21 04:00:00+00,2018,7,2D,Ward 2,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.90526128,-77.05075846,2018,Saturday,July
700 block of 4th ST SE,2018-07-25 04:00:00+00:00,2300,2018/07/26 04:00:00+00,2018,7,1D,Ward 6,Race,White,Damage/Defacing/Destruction of Property,38.88086917,-77.00057741,2018,Wednesday,July
800 block of Mount Vernon Pl NW,2018-07-28 04:00:00+00:00,1700,2018/07/28 04:00:00+00,2018,7,3D,Ward 2,Sexual Orientation,,Simple Assault,38.90294301,-77.02298125,2018,Saturday,July
800 block of 16th St NW,2018-07-30 04:00:00+00:00,1259,2018/08/02 04:00:00+00,2018,8,2D,Ward 2,Religion,Jewish,Damage/Defacing/Destruction of Property,38.90077259,-77.03655007,2018,Monday,July
