ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_LATITUDE,MAR_LONGITUDE,YEAR,DAY_OF_WEEK,MONTH_NAME
1900 block of 2nd ST NW,2021-07-25 04:00:00+00:00,1718,2021/07/25 04:00:00+00,2021,7,3D,Ward 1,Ethnicity/National Origin,Chinese,Damage/Defacing/Destruction of Property,38.91608287,-77.01439631,2021,Sunday,July
2000 block of P St NW,2021-08-04 04:00:00+00:00,0440,2021/08/04 04:00:00+00,2021,8,2D,Ward 2,Ethnicity/National Origin,Turkish,Displaying Symbols,38.90964184,-77.0453223,2021,Wednesday,August
800 block of 26th St NE,2021-08-05 04:00:00+00:00,2330,2021/08/06 04:00:00+00,2021,8,5D,Ward 5,Gender Identity/Expression,,Robbery,38.90063768,-76.97023025,2021,Thursday,August
2200 block of Georgia Ave NW,2021-08-13 04:00:00+00:00,2240,2021/08/14 04:00:00+00,2021,8,3D,Ward 1,Sexual Orientation,,Simple Assault,38.91949073,-77.0219009,2021,Friday,August
2800 block of Georgia Ave NW,2021-08-18 04:00:00+00:00,1530,2021/08/18 04:00:00+00,2021,8,3D,Ward 1,Ethnicity/National Origin,Hispanic,Threats,38.92639173,-77.022842,2021,Wednesday,August
900 block of Rhode Island Ave NE,2021-08-18 04:00:00+00:00,1015,2021/08/18 04:00:00+00,2021,8,5D,Ward 5,Race,White,ADW,38.9222166,-76.9931402,2021,Wednesday,August
1400 block of 14th St NW,2021-08-20 04:00:00+00:00,0148,2021/08/20 04:00:00+00,2021,8,2D,Ward 2,Race,Black,Simple Assault,38.9092426,-77.03195176,2021,Friday,August
600 block of Massachusetts Ave NW,2021-08-24 04:00:00+00:00,1824,2021/08/24 04:00:00+00,2021,8,1D,Ward 2,Race,Black,Simple Assault,38.90181186,-77.02090564,2021,Tuesday,August
1200 block of New Hampshire Ave NW,2021-08-28 04:00:00+00:00,1000,2021/08/28 04:00:00+00,2021,8,2D,Ward 2,Religion,Jewish,Simple Assault,38.90558552,-77.04724693,2021,Saturday,August
1000 block of 31st St NW,2021-08-28 04:00:00+00:00,0700,2021/09/09 04:00:00+00,2021,9,2D,Ward 2,Ethnicity/National Origin,Jewish,Displaying Symbols,38.90301368,-77.06113659,2021,Saturday,August
800 block of 5th St NW,2021-08-29 04:00:00+00:00,1740,2021/08/29 04:00:00+00,2021,8,1D,Ward 6,Sexual Orientation,,Simple Assault,38.90033609,-77.01892869,2021,Sunday,August
500 block of K St NW,2021-08-30 04:00:00+00:00,2010,2021/08/30 04:00:00+00,2021,8,1D,Ward 6,Ethnicity/National Origin,Chinese,Simple Assault,38.90252026,-77.01941739,2021,Monday,August
1300 block of Delaware Ave SW,2021-08-31 04:00:00+00:00,1500,2021/09/03 04:00:00+00,2021,9,1D,Ward 6,Religion,Jewish,Damage/Defacing/Destruction of Property,38.8746523,-77.01443782,2021,Tuesday,August
1800 block of Perry Pl NE,2021-09-02 04:00:00+00:00,1200,2021/09/02 04:00:00+00,2021,9,5D,Ward 5,Race,Black,Simple Assault,38.93643627,-76.97862907,2021,Thursday,September
5200 block of Georgia Ave NW,2021-09-09 04:00:00+00:00,1952,2021/09/09 04:00:00+00,2021,9,4D,Ward 4,Race,Black,Threats,38.95349367,-77.02765359,2021,Thursday,September
500 block of G St NW,2021-09-11 04:00:00+00:00,2352,2021/09/12 04:00:00+00,2021,9,1D,Ward 2,Race,Black,Threats,38.89831102,-77.01941855,2021,Saturday,September
2500 block of M St NW,2021-09-13 04:00:00+00:00,0700,2021/09/13 04:00:00+00,2021,9,2D,Ward 2,Race,White,Simple Assault,38.90525702,-77.05402268,2021,Monday,September
2200 block of M St NW,2021-09-13 04:00:00+00:00,1513,2021/09/13 04:00:00+00,2021,9,2D,Ward 2,Race,White,Simple Assault,38.90526517,-77.04946064,2021,Monday,September
2200 block of Wisconsin Ave NW,2021-09-15 04:00:00+00:00,2100,2021/09/15 04:00:00+00,2021,9,2D,Ward 3,Race,White,Simple Assault,38.91966658,-77.0710366,2021,Wednesday,September
2200 block of 25th Pl NE,2021-09-17 04:00:00+00:00,1215,2021/09/17 04:00:00+00,2021,9,5D,Ward 5,Race,Black,Damage/Defacing/Destruction of Property,38.92103499,-76.97091928,2021,Friday,September
2200 block of 25th Pl NE,2021-09-17 04:00:00+00:00,0854,2021/09/17 04:00:00+00,2021,9,5D,Ward 5,Race,White,ADW,38.92103499,-76.97091928,2021,Friday,September
200 block of L St NE,2021-09-18 04:00:00+00:00,0933,2021/09/18 04:00:00+00,2021,9,5D,Ward 6,Gender Identity/Expression,,ADW,38.90373102,-77.00317492,2021,Saturday,September
3300 block of 14th Pl SE,2021-09-19 04:00:00+00:00,1840,2021/09/19 04:00:00+00,2021,9,7D,Ward 8,Sexual Orientation,,Simple Assault,38.84345664,-76.9844361,2021,Sunday,September
4900 block of Wisconsin Ave NW,2021-09-26 04:00:00+00:00,0257,2021/09/26 04:00:00+00,2021,9,2D,Ward 3,Ethnicity/National Origin,Middle Eastern,Simple Assault,38.95358489,-77.08206457,2021,Sunday,September
2200 block of Hunter Pl SE,2021-09-29 04:00:00+00:00,1255,2021/09/29 04:00:00+00,2021,9,7D,Ward 8,Ethnicity/National Origin,Middle Eastern,Simple Assault,38.85931888,-76.98462013,2021,Wednesday,September
600 block of Edgewood St NE,2021-10-02 04:00:00+00:00,1650,2021/10/02 04:00:00+00,2021,10,5D,Ward 5,Gender Identity/Expression,,Simple Assault,38.92423879,-76.99790392,2021,Saturday,October
2000 block of 14th St NW,2021-10-20 04:00:00+00:00,1852,2021/10/20 04:00:00+00,2021,10,3D,Ward 1,Race,White,Threats,38.91755504,-77.0319511,2021,Wednesday,October
3800 block of Massachusetts Ave NW,2021-10-21 04:00:00+00:00,1800,2021/10/21 04:00:00+00,2021,10,2D,Ward 3,Ethnicity/National Origin,Jewish,Displaying Symbols,38.93058325,-77.07586891,2021,Thursday,October
Unit block of M St NE,2021-10-21 04:00:00+00:00,2306,2021/10/22 04:00:00+00,2021,10,5D,Ward 6,Race,Black,Simple Assault,38.9056424,-77.00747409,2021,Thursday,October
3100 block of Rhode Island Ave NE,2021-10-23 04:00:00+00:00,1938,2021/10/23 04:00:00+00,2021,10,5D,Ward 5,Gender Identity/Expression,,ADW,38.93453811,-76.96477988,2021,Saturday,October
Unit block of Massachusetts Ave NE,2021-10-24 04:00:00+00:00,0938,2021/10/24 04:00:00+00,2021,10,1D,Ward 6,Gender Identity/Expression,,Simple Assault,38.89720394,-77.00838793,2021,Sunday,October
1000 block of Connecticut Ave NW,2021-10-31 04:00:00+00:00,1923,2021/10/31 04:00:00+00,2021,10,2D,Ward 2,Ethnicity/National Origin,Iranian,Damage/Defacing/Destruction of Property,38.90314383,-77.03966715,2021,Sunday,October
600 block of 22nd St NW,2021-10-31 04:00:00+00:00,1015,2021/10/31 04:00:00+00,2021,10,2D,Ward 2,Religion,Jewish,Burglary,38.89784435,-77.04884163,2021,Sunday,October
200 block of 57th Pl NE,2021-11-05 04:00:00+00:00,1104,2021/11/05 04:00:00+00,2021,11,6D,Ward 7,Gender Identity/Expression,,Damage/Defacing/Destruction of Property,38.89188886,-76.91884071,2021,Friday,November
3200 block of 14th St NW,2021-11-16 05:00:00+00:00,1300,2021/11/16 05:00:00+00,2021,11,3D,Ward 1,Race,Black,"Lewd, Indecent, Obscene Acts",38.92951689,-77.03272986,2021,Tuesday,November
4500 block of Wisconsin Ave NW,2021-11-16 05:00:00+00:00,0710,2021/11/16 05:00:00+00,2021,11,2D,Ward 3,Gender Identity/Expression,,Threats,38.94835706,-77.07993731,2021,Tuesday,November
800 block of Barnaby Rd SE,2021-11-16 05:00:00+00:00,1040,2021/11/16 05:00:00+00,2021,11,7D,Ward 8,Sexual Orientation,,Threats,38.82785939,-76.99596662,2021,Tuesday,November
1000 block of L St NW,2021-11-18 05:00:00+00:00,0742,2021/11/18 05:00:00+00,2021,11,3D,Ward 2,Ethnicity/National Origin,Jewish,Displaying Symbols,38.90417154,-77.02651363,2021,Thursday,November
400 block of Condon Ter SE,2021-11-18 05:00:00+00:00,1641,2021/11/18 05:00:00+00,2021,11,7D,Ward 8,Gender Identity/Expression,,Simple Assault,38.83163389,-76.99989393,2021,Thursday,November
Unit block of Massachusetts Ave NW,2021-11-19 05:00:00+00:00,0459,2021/11/19 05:00:00+00,2021,11,1D,Ward 6,Race,Black,Threats,38.89789907,-77.0101233,2021,Friday,November
2100 block of Newport Pl NW,2021-11-21 05:00:00+00:00,0339,2021/11/21 05:00:00+00,2021,11,2D,Ward 2,Race,Black,Damage/Defacing/Destruction of Property,38.90790228,-77.04771667,2021,Sunday,November
4000 block of 1st St SE,2021-12-02 05:00:00+00:00,0817,2021/12/02 05:00:00+00,2021,12,7D,Ward 8,Sexual Orientation,,Threats,38.83071173,-77.00588679,2021,Thursday,December
1500 block of Rhode Island Ave NE,2021-12-10 05:00:00+00:00,1142,2021/12/10 05:00:00+00,2021,12,5D,Ward 5,Gender Identity/Expression,,Simple Assault,38.92554881,-76.98347902,2021,Friday,December
3900 block of 1st St SE,2021-12-11 05:00:00+00:00,1830,2021/12/11 05:00:00+00,2021,12,7D,Ward 8,Sexual Orientation,,ADW,38.83255053,-77.00588488,2021,Saturday,December
4300 block of Wisconsin Ave NW,2021-12-12 05:00:00+00:00,1919,2021/12/12 05:00:00+00,2021,12,2D,Ward 3,Ethnicity/National Origin,Lebanese,Threats,38.94513863,-77.07812667,2021,Sunday,December
4100 block of Gault Pl NE,2021-12-13 05:00:00+00:00,0014,2021/12/13 05:00:00+00,2021,12,6D,Ward 7,Sexual Orientation,,Simple Assault,38.89905796,-76.94436833,2021,Monday,December
Unit block of Massachusetts Ave NE,2021-12-15 05:00:00+00:00,1545,2021/12/15 05:00:00+00,2021,12,1D,Ward 6,Ethnicity/National Origin,Asian,Simple Assault,38.89720394,-77.00838793,2021,Wednesday,December
100 block of Q St NE,2021-12-15 05:00:00+00:00,2110,2021/12/15 05:00:00+00,2021,12,5D,Ward 5,Gender Identity/Expression,,Simple Assault,38.91111435,-77.00566814,2021,Wednesday,December
4800 block of Quarles St NE,2022-01-05 05:00:00+00:00,1230,2022/01/05 05:00:00+00,2022,1,6D,Ward 7,Sexual Orientation,,Threats,38.90888961,-76.93210108,2022,Wednesday,January
1600 block of Rhode Island Ave NW,2022-01-07 05:00:00+00:00,0000,2022/01/13 05:00:00+00,2022,1,2D,Ward 2,Gender Identity/Expression,,Threats,38.90699416,-77.03726404,2022,Friday,January
3900 block of Chesapeake St NW,2022-01-14 05:00:00+00:00,1410,2022/01/14 05:00:00+00,2022,1,2D,Ward 3,Race; Ethnicity/National Origin; Gender Identity/Expression,White; Jewish,Displaying Symbols,38.95072757,-77.07673285,2022,Friday,January
3000 block of 14th ST NW,2022-01-16 05:00:00+00:00,0000,2022/01/16 05:00:00+00,2022,1,3D,Ward 1,Religion,Muslim,Threats,38.9281718,-77.03259028,2022,Sunday,January
Columbia Rd NW and Wyoming Ave NW,2022-01-23 05:00:00+00:00,1131,2023/01/23 05:00:00+00,2023,1,3D,Ward 1,Ethnicity/National Origin,Jewish,Simple Assault,38.91838527,-77.04520541,2022,Sunday,January
Unit block of Massachusetts Ave NE,2022-01-28 05:00:00+00:00,0045,2022/01/28 05:00:00+00,2022,1,1D,Ward 6,Ethnicity/National Origin,Jewish,Displaying Symbols,38.89720394,-77.00838793,2022,Friday,January
2200 block of Bryan Pl SE,2022-02-09 05:00:00+00:00,2100,2022/02/09 05:00:00+00,2022,2,7D,Ward 8,Sexual Orientation,,Simple Assault,38.86000741,-76.98690879,2022,Wednesday,February
1100 block of New Jersey Ave SE,2022-02-10 05:00:00+00:00,1630,2022/02/10 05:00:00+00,2022,2,1D,Ward 6/Ward 8,Race,Black,Simple Assault,38.8770044,-77.00435314,2022,Thursday,February
2500 block of 17th St NW,2022-02-13 05:00:00+00:00,1651,2022/02/13 05:00:00+00,2022,2,3D,Ward 1,Sexual Orientation,,Threats,38.9239152,-77.03903879,2022,Sunday,February
300 block of Indiana Ave NW,2022-02-18 05:00:00+00:00,0410,2022/02/18 05:00:00+00,2022,2,1D,Ward 6,Race,Black,Simple Assault,38.89481048,-77.01755282,2022,Friday,February
1800 block of Connecticut Ave NW,2022-02-25 05:00:00+00:00,1730,2022/02/25 05:00:00+00,2022,2,2D,Ward 1/Ward 2,Ethnicity/National Origin,Russian,Damage/Defacing/Destruction of Property,38.91460355,-77.04622115,2022,Friday,February
1000 block of 17th St NW,2022-02-26 05:00:00+00:00,0012,2022/02/26 05:00:00+00,2022,2,2D,Ward 2,Gender Identity/Expression,,Threats,38.90313278,-77.03850908,2022,Saturday,February
1400 block of Belmont St NW,2022-02-27 05:00:00+00:00,1925,2022/02/27 05:00:00+00,2022,2,3D,Ward 1,Sexual Orientation,,Threats,38.92051037,-77.03336008,2022,Sunday,February
700 block of New York Ave NE,2022-03-03 05:00:00+00:00,0554,2022/03/03 05:00:00+00,2022,3,5D,Ward 5,Homelessness,ADW,,38.91265961,-76.99372317,2022,Thursday,March
400 block of New York Ave NE,2022-03-09 05:00:00+00:00,0252,2022/03/09 05:00:00+00,2022,3,5D,Ward 5,Homelessness,Homicide,,38.91265961,-76.99372317,2022,Wednesday,March
3800 block of Wisconsin Ave NW,2022-04-02 04:00:00+00:00,1807,2022/04/03 04:00:00+00,2022,4,2D,Ward 3,Race,White,Damage/Defacing/Destruction of Property,38.93884059,-77.074648,2022,Saturday,April
4800 block of Wisconsin Ave NW,2022-04-04 04:00:00+00:00,1033,2022/04/05 04:00:00+00,2022,4,2D,Ward 3,Race,White,Simple Assault,38.95271013,-77.08161767,2022,Monday,April
Unit block of I St NW,2022-04-05 04:00:00+00:00,0955,2022/04/05 04:00:00+00,2022,4,1D,Ward 6,Ethnicity/National Origin,Chinese,Simple Assault,38.9013174,-77.01178779,2022,Tuesday,April
1800 block of 14th St NW,2022-04-06 04:00:00+00:00,0005,2022/04/06 04:00:00+00,2022,4,3D,Ward 2,Sexual Orientation,,Simple Assault,38.91446221,-77.03195329,2022,Wednesday,April
1300 block of I St NW,2022-04-10 04:00:00+00:00,0200,2022/04/12 04:00:00+00,2022,4,2D,Ward 2,Gender Identity/Expression,,Threats,38.90133151,-77.03079307,2022,Sunday,April
3400 block of 23rd St SE,2017-06-17 04:00:00+00:00,2156,2017/06/17 04:00:00+00,2017,6,7D,Ward 8,Race,Black,Displaying Symbols,38.84646149,-76.97163624,2017,Saturday,June
1800 block of 23rd St NW,2017-06-18 04:00:00+00:00,1952,2017/06/18 04:00:00+00,2017,6,2D,Ward 2,Ethnicity/National Origin,Jewish,Displaying Symbols,38.91446057,-77.05061972,2017,Sunday,June
1600 block of R St NW,2017-06-20 04:00:00+00:00,2200,2017/06/22 04:00:00+00,2017,6,3D,Ward 2,Sexual Orientation,,Simple Assault,38.91260899,-77.03749919,2017,Tuesday,June
3800 block of Connecticut Ave NW,2017-06-20 04:00:00+00:00,0732,2017/06/24 04:00:00+00,2017,6,2D,Ward 3,Religion,Jewish,Displaying Symbols,38.94018074,-77.06119338,2017,Tuesday,June
3100 block of Fort Lincoln Dr NE,2017-06-20 04:00:00+00:00,1600,2017/06/20 04:00:00+00,2017,6,5D,Ward 5,Race,Black,Displaying Symbols,38.92766568,-76.95874246,2017,Tuesday,June
1500 block of 17th St NW,2017-07-03 04:00:00+00:00,2354,2017/07/04 04:00:00+00,2017,7,2D,Ward 2,Sexual Orientation,,Threats,38.910014,-77.03848801,2017,Monday,July
Central Ave SE and Southern Ave SE,2017-07-07 04:00:00+00:00,2035,2017/07/07 04:00:00+00,2017,7,2D,Ward 7,Sexual Orientation,,ADW,38.88570973,-76.91856593,2017,Friday,July
2100 block of Queens Chapel Rd NE,2017-07-16 04:00:00+00:00,0245,2017/07/17 04:00:00+00,2017,7,5D,Ward 5,Sexual Orientation,,ADW,38.91912162,-76.97240933,2017,Sunday,July
4600 block of 41st ST NW,2017-07-17 04:00:00+00:00,1450,2017/07/17 04:00:00+00,2017,7,2D,Ward 3,Race,White,Damage/Defacing/Destruction of Property,38.95020341,-77.08031178,2017,Monday,July
6700 block of Georgia Ave NW,2017-07-20 04:00:00+00:00,0142,2017/07/20 04:00:00+00,2017,7,4D,Ward 4,Race,Black,Threats,38.97191325,-77.02707151,2017,Thursday,July
4000 block of Minnesota Ave NE,2017-07-21 04:00:00+00:00,2100,2017/07/24 04:00:00+00,2017,7,6D,Ward 7,Sexual Orientation,,Simple Assault,38.89665588,-76.94764751,2017,Friday,July
4000 block of Minnesota Ave NE,2017-07-23 04:00:00+00:00,0900,2017/07/25 04:00:00+00,2017,7,6D,Ward 7,Sexual Orientation,,Threats,38.89665588,-76.94764751,2017,Sunday,July
600 block of 13th ST NW,2017-07-27 04:00:00+00:00,1956,2017/07/27 04:00:00+00,2017,7,2D,Ward 2,Sexual Orientation,,Threats,38.89782585,-77.02961894,2017,Thursday,July
1200 block of New Hampshire Ave NW,2017-07-29 04:00:00+00:00,1838,2017/07/29 04:00:00+00,2017,7,2D,Ward 2,Political Affiliation,,ADW,38.90558552,-77.04724693,2017,Saturday,July
400 block of Massachusetts Ave NW,2017-08-02 04:00:00+00:00,2030,2017/08/02 04:00:00+00,2017,8,1D,Ward 6,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.90052346,-77.0171897,2017,Wednesday,August
1700 block of New York Ave NW,2017-08-03 04:00:00+00:00,1000,2017/08/03 04:00:00+00,2017,8,2D,Ward 2,Ethnicity/National Origin,Jewish,Threats,38.89651769,-77.03978808,2017,Thursday,August
1200 block of U St NW,2017-08-05 04:00:00+00:00,1908,2017/08/05 04:00:00+00,2017,8,3D,Ward 1,Race,Black,Threats,38.91699977,-77.02885249,2017,Saturday,August
1500 block of 21st ST NW,2017-08-06 04:00:00+00:00,0407,2017/08/06 04:00:00+00,2017,8,2D,Ward 2,Race,White,Robbery,38.91019435,-77.0466344,2017,Sunday,August
1800 block of I St NW,2017-08-12 04:00:00+00:00,0343,2017/08/12 04:00:00+00,2017,8,2D,Ward 2,Sexual Orientation,,ADW,38.90133519,-77.04257949,2017,Saturday,August
1600 block of Gales St NE,2017-08-14 04:00:00+00:00,0858,2017/08/14 04:00:00+00,2017,8,5D,Ward 7,Sexual Orientation,,Damage/Defacing/Destruction of Property,38.89830159,-76.98076544,2017,Monday,August
100 block of I St SE,2017-08-15 04:00:00+00:00,2259,2017/08/16 04:00:00+00,2017,8,1D,Ward 6,Race,Black,Simple Assault,38.87928414,-77.00666828,2017,Tuesday,August
1700 block of 38th ST NW,2017-08-16 04:00:00+00:00,0700,2017/08/16 04:00:00+00,2017,8,2D,Ward 2,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.91399208,-77.0741715,2017,Wednesday,August
1700 block of Columbia Rd NW,2017-08-17 04:00:00+00:00,2000,2017/08/18 04:00:00+00,2017,8,3D,Ward 1,Race,Black,Damage/Defacing/Destruction of Property,38.92465629,-77.03965317,2017,Thursday,August
1200 block of South Capitol ST SE,2017-08-24 04:00:00+00:00,0900,2017/08/24 04:00:00+00,2017,8,1D,Ward 6,Race,Black,Displaying Symbols,38.87652596,-77.00909794,2017,Thursday,August
700 block of 8th St NW,2017-08-25 04:00:00+00:00,0557,2017/08/25 04:00:00+00,2017,8,1D,Ward 2,Race,Black,Damage/Defacing/Destruction of Property,38.89913473,-77.02294002,2017,Friday,August
900 block of 16th ST NW,2017-08-28 04:00:00+00:00,1413,2017/08/28 04:00:00+00,2017,8,2D,Ward 2,Race,White,ADW,38.90193467,-77.03654363,2017,Monday,August
Unit block of O St NW,2017-08-30 04:00:00+00:00,0740,2017/08/30 04:00:00+00,2017,8,3D,Ward 5,Gender Identity/Expression,,Threats,38.90856644,-77.01067524,2017,Wednesday,August
700 block of 8th St NW,2017-09-03 04:00:00+00:00,0220,2017/09/03 04:00:00+00,2017,9,1D,Ward 2,Race,Black,Damage/Defacing/Destruction of Property,38.89913473,-77.02294002,2017,Sunday,September
1500 block of C ST SE,2017-09-06 04:00:00+00:00,1200,2017/09/07 04:00:00+00,2017,9,1D,Ward 7,Ethnicity/National Origin,Jewish,Displaying Symbols,38.88535113,-76.98293572,2017,Wednesday,September
1000 block of U St NW,2017-09-09 04:00:00+00:00,0234,2017/09/09 04:00:00+00,2017,9,3D,Ward 1,Sexual Orientation,,Simple Assault,38.91699681,-77.02651355,2017,Saturday,September
400 block of 2nd St NW,2017-09-11 04:00:00+00:00,1720,2017/09/11 04:00:00+00,2017,9,1D,Ward 6,Political Affiliation,,Damage/Defacing/Destruction of Property,38.89543686,-77.01478638,2017,Monday,September
200 block of Elmira St SW,2017-09-11 04:00:00+00:00,1458,2017/09/11 04:00:00+00,2017,9,7D,Ward 8,Sexual Orientation,,Threats,38.82605094,-77.0132525,2017,Monday,September
Unit block of Washington Cir NW,2017-09-11 04:00:00+00:00,0000,2017/09/18 04:00:00+00,2017,9,2D,Ward 2,Ethnicity/National Origin,Jewish,Displaying Symbols,38.90208087,-77.04972912,2017,Monday,September
1100 block of Connecticut Ave NW,2017-09-13 04:00:00+00:00,0224,2017/09/13 04:00:00+00,2017,9,2D,Ward 2,Political Affiliation,,Robbery,38.90423795,-77.0402985,2017,Wednesday,September
2300 block of Georgia Ave NW,2017-09-17 04:00:00+00:00,0213,2017/09/17 04:00:00+00,2017,9,3D,Ward 1,Sexual Orientation,,Simple Assault,38.92047649,-77.02198931,2017,Sunday,September
200 block of H St NW,2017-09-19 04:00:00+00:00,1200,2017/09/20 04:00:00+00,2017,9,1D,Ward 6,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.9002253,-77.01442689,2017,Tuesday,September
600 block of I St NW,2019-11-29 05:00:00+00:00,1530,2019/12/02 05:00:00+00,2019,12,1D,Ward 2,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.90086787,-77.02090986,2019,Friday,November
4700 block of Kansas Ave NW,2019-11-30 05:00:00+00:00,1401,2019/11/30 05:00:00+00,2019,11,4D,Ward 4,Ethnicity/National Origin,Latino/Hispanic,Robbery,38.9481149,-77.02129691,2019,Saturday,November
4200 block of 2nd St NW,2019-12-07 05:00:00+00:00,1528,2019/12/07 05:00:00+00,2019,12,4D,Ward 4,Ethnicity/National Origin,Latino/Hispanic,ADW,38.94274871,-77.01383982,2019,Saturday,December
2200 block of P St NW,2019-12-13 05:00:00+00:00,0130,2019/12/18 05:00:00+00,2019,12,2D,Ward 2,Race,White,Simple Assault,38.90963474,-77.04906866,2019,Friday,December
1400 block of U St NW,2019-12-19 05:00:00+00:00,2213,2019/12/19 05:00:00+00,2019,12,3D,Ward 2,Ethnicity/National Origin,Black/African,ADW,38.9169968,-77.03324151,2019,Thursday,December
1200 block of 9th St NW,2019-12-31 05:00:00+00:00,1729,2019/12/31 05:00:00+00,2019,12,3D,Ward 2,Sexual Orientation,,Damage/Defacing/Destruction of Property,38.90644462,-77.02397769,2019,Tuesday,December
3900 block of Chesapeake St NW,2020-01-02 05:00:00+00:00,1145,2020/01/02 05:00:00+00,2020,1,2D,Ward 3,Ethnicity/National Origin,Jewish,Displaying Symbols,38.95072757,-77.07673285,2020,Thursday,January
800 block of Upshur St NW,2020-01-03 05:00:00+00:00,2320,2020/01/04 05:00:00+00,2020,1,4D,Ward 4,Sexual Orientation,,Stalking,38.94190348,-77.02420671,2020,Friday,January
1200 block of Taylor St NW,2020-01-06 05:00:00+00:00,1050,2020/01/06 05:00:00+00,2020,1,4D,Ward 4,Sexual Orientation,,Simple Assault,38.94080258,-77.02821479,2020,Monday,January
800 block of 17th St NW,2020-01-11 05:00:00+00:00,1800,2020/01/11 05:00:00+00,2020,1,2D,Ward 2,Race,Black,Simple Assault,38.9007739,-77.03944725,2020,Saturday,January
1400 block of 14th St NW,2020-01-12 05:00:00+00:00,0144,2020/01/12 05:00:00+00,2020,1,2D,Ward 2,Sexual Orientation,,Simple Assault,38.9092426,-77.03195176,2020,Sunday,January
1000 block of H St NW,2019-10-24 04:00:00+00:00,0149,2019/10/24 04:00:00+00,2019,10,2D,Ward 2,Ethnicity/National Origin,Jewish,Displaying Symbols,38.89981699,-77.0265142,2019,Thursday,October
4000 block of Minnesota Ave NE,2019-10-29 04:00:00+00:00,1635,2019/10/29 04:00:00+00,2019,10,6D,Ward 7,Sexual Orientation,,Stalking,38.89665588,-76.94764751,2019,Tuesday,October
1100 block of Connecticut Ave NW,2019-10-31 04:00:00+00:00,1228,2019/10/31 04:00:00+00,2019,10,2D,Ward 2,Ethnicity/National Origin,Russian,Threats,38.90423795,-77.0402985,2019,Thursday,October
1900 block of Maryland Ave NE,2019-11-07 05:00:00+00:00,1604,2019/11/07 05:00:00+00,2019,11,5D,Ward 5,Ethnicity/National Origin,Latino/Hispanic,Robbery,38.90347863,-76.97519277,2019,Thursday,November
1900 block of 15th St NW,2019-11-16 05:00:00+00:00,2009,2019/11/16 05:00:00+00,2019,11,3D,Ward 2,Sexual Orientation,,Damage/Defacing/Destruction of Property,38.9159302,-77.03453823,2019,Saturday,November
3900 block of Chesapeake St NW,2019-11-18 05:00:00+00:00,1400,2019/11/20 05:00:00+00,2019,11,2D,Ward 3,Ethnicity/National Origin,Jewish,Displaying Symbols,38.95072757,-77.07673285,2019,Monday,November
5600 block of Georgia Ave NW,2019-11-20 05:00:00+00:00,2330,2019/11/21 05:00:00+00,2019,11,4D,Ward 4,Ethnicity/National Origin,Black/African,Simple Assault,38.95781489,-77.02823064,2019,Wednesday,November
2200 block of 18th St NW,2019-11-23 05:00:00+00:00,0333,2019/11/23 05:00:00+00,2019,11,3D,Ward 1,Ethnicity/National Origin,Middle Eastern,Robbery,38.91920176,-77.04168137,2019,Saturday,November
1300 block of M St NW,2023-05-30 04:00:00+00:00,1920,2023/06/02 04:00:00+00,2023,6,3D,Ward 2,Religion,Jewish,Theft,38.90564747,-77.03055674,2023,Tuesday,May
1300 block of North Capitol St NW,2023-06-01 04:00:00+00:00,2250,2023/06/07 04:00:00+00,2023,6,3D,Ward 5,Sexual Orientation,,Simple Assault,38.90764277,-77.00905302,2023,Thursday,June
800 block of Water St SW,2023-06-03 04:00:00+00:00,2110,2023/06/03 04:00:00+00,2023,6,1D,Ward 6,Ethnicity/National Origin,Hispanic,Simple Assault,38.87963299,-77.02495545,2023,Saturday,June
2800 block of Wisconsin Ave NW,2023-06-04 04:00:00+00:00,1400,2023/06/04 04:00:00+00,2023,6,2D,Ward 3,Sexual Orientation,,Theft,38.9268556,-77.07318789,2023,Sunday,June
18th St NW and Columbia Rd NW,2023-06-08 04:00:00+00:00,1800,2023/06/14 04:00:00+00,2023,6,3D,Ward 1,Race,Black,Damage/Defacing/Destruction of Property,38.92266078,-77.04268424,2023,Thursday,June
2100 block of Pennsylvania Ave NW,2023-06-11 04:00:00+00:00,1730,2023/08/13 04:00:00+00,2023,8,2D,Ward 2,Sexual Orientation,,Sexual Assault,38.90169903,-77.04774446,2023,Sunday,June
5200 block of 43rd St NW,2023-06-12 04:00:00+00:00,2143,2023/06/12 04:00:00+00,2023,6,2D,Ward 3,Sexual Orientation,,Threats,38.95852093,-77.08376295,2023,Monday,June
2100 block of 8th St NW,2023-06-12 04:00:00+00:00,0201,2023/06/12 04:00:00+00,2023,6,3D,Ward 1,Sexual Orientation,,Simple Assault,38.91931666,-77.0229517,2023,Monday,June
1100 block of New Jersey Ave SE,2023-06-13 04:00:00+00:00,1711,2023/06/13 04:00:00+00,2023,6,1D,Ward 6,Gender Identity/Expression,,Simple Assault,38.8770044,-77.00435314,2023,Tuesday,June
